Models_V2,Train_Batch_Accuracy,Validation_Batch_Accuracy,Test_Batch_Accuracy,Test_Accuracy
vg16,93.93,94.03,97.71,87.27
vg19,100.0,94.03,92.92,86.26
res,99.37,26.86,33.33,29.29
dens,99.58,82.09,75.75,75.15
inc,90.42,79.1,74.74,69.49
incres,90.42,79.6,67.67,0.0
xcep,99.17,81.09,82.82,74.94
mob,98.12,84.57,68.68,82.42
mobv2,96.46,82.09,76.76,74.54
nnetl,98.4,81.01,86.86,0.0
nnetm,94.79,83.58,74.74,0.0
